acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
1590,-2298,3586,304,-937,-442
1566,-2387,3666,348,-953,-348
1625,-2168,3749,445,-953,-253
1726,-1996,3884,548,-950,-213
1803,-1974,4124,627,-930,-186
1832,-2080,4103,706,-885,-149
1832,-2201,3982,739,-862,-80
1859,-2219,4011,793,-880,26
1940,-1903,4212,878,-906,149
2057,-1761,4357,988,-875,195
2050,-2062,4021,1167,-881,235
2128,-2032,4127,1203,-956,385
2196,-1729,4543,1172,-999,551
2291,-1357,4887,1182,-936,657
2328,-1091,5117,1244,-813,697
2402,-743,5232,1302,-682,730
2421,-497,5102,1291,-546,737
2271,-516,4884,1219,-449,733
2175,-542,4636,1172,-402,757
2108,-508,4447,1152,-385,792
2053,-446,4509,1155,-386,830
2063,-230,4703,1192,-375,889
2159,160,4740,1217,-324,944
2185,353,4579,1179,-261,955
2097,388,4340,1093,-219,962
2028,485,4242,1013,-210,987
2050,701,4521,995,-225,1007
2134,1131,4889,1030,-200,1007
2199,1591,4988,1017,-103,959
2170,1702,4826,923,10,850
1989,1592,4571,810,89,745
1859,1518,4264,733,126,679
1804,1438,4024,627,119,643
1732,1469,4006,516,82,632
1740,1749,4137,465,38,613
1846,1924,4332,401,17,550
1916,1901,4423,308,40,469
1942,1719,4360,198,84,401
1940,1492,4205,91,117,372
1913,1373,4061,13,127,380
1819,1397,3892,-47,132,391
1762,1527,3754,-56,121,372
1808,1631,3756,-44,94,302
1780,1543,3718,-21,76,189
1752,1350,3635,-52,56,99
1773,1106,3699,-120,18,35
1773,847,3883,-143,-20,-5
1809,646,4042,-129,-42,-19
1837,574,4115,-105,-46,-24
1818,489,4169,-133,-25,-19
1818,489,4169,-133,-25,-19
1788,460,4184,-158,17,-9
1792,458,3994,-100,59,-37
1821,292,3805,-24,65,-88
1841,50,3779,61,39,-117
1841,-35,3745,118,21,-96
1813,-14,3712,99,16,-53
1825,1,3790,107,5,-30
1840,3,3873,165,0,-29
1806,18,3853,187,15,-16
1804,21,3787,108,37,17
1813,32,3802,7,42,58
1788,73,3825,-28,39,85
1738,184,3833,-14,37,94
1666,423,3744,35,26,84
1678,526,3733,46,-6,32
1787,417,3805,43,-47,-41
1852,176,3897,28,-80,-90
1843,-36,3987,-4,-93,-86
1797,-139,4013,1,-83,-48
1802,-88,4033,16,-63,10
1862,38,4136,41,-39,56
1850,166,4233,70,-6,73
1817,287,4182,91,47,74
1782,375,4032,78,88,61
1664,383,3910,85,96,37
1552,383,3762,93,83,14
1554,392,3668,59,57,2
1637,364,3656,50,8,-25
1727,257,3787,5,-48,-38
1809,155,4007,-48,-83,-22
1843,116,4121,-57,-80,3
1845,157,4125,-51,-54,31
1863,236,4111,-36,-29,46
1847,283,4083,-11,-2,40
1785,276,4036,5,23,28
1734,320,3963,29,34,26
1743,362,3892,62,28,17
1767,306,3879,73,7,0
1759,219,3905,74,-12,0
1753,189,3917,65,-22,16
1762,190,3917,68,-27,32
1787,218,3923,97,-34,42
1770,274,3946,111,-41,56
1754,370,3949,89,-34,73
1753,477,3966,94,-23,62
1747,544,3932,126,-11,22
1727,528,3906,131,-2,-21
1706,484,3878,128,4,-54
1673,414,3806,125,4,-80
1683,319,3722,132,-11,-91
1759,265,3712,133,-44,-83
1765,145,3789,138,-76,-68
1791,168,3818,135,-97,-17
1846,250,3871,128,-109,31
1860,334,3896,159,-112,46


-159,1243,4983,-318,450,-46
-190,1524,4923,-378,478,-95
-216,1628,4943,-425,487,-185
-317,1584,4829,-505,504,-274
-483,1455,4548,-631,514,-333
-581,1397,4261,-745,479,-367
-590,1371,4065,-835,413,-405
-563,1193,3986,-942,346,-462
-553,883,4004,-1028,299,-516
-564,665,3982,-1051,280,-546
-569,555,3761,-1063,282,-558
-602,425,3455,-1112,270,-573
-649,367,3328,-1134,218,-584
-580,372,3339,-1142,165,-600
-515,265,3307,-1134,128,-645
-509,6,3142,-1114,102,-692
-542,-317,2914,-1115,66,-711
-590,-545,2751,-1104,-1,-693
-577,-489,2621,-1045,-96,-661
-507,-369,2743,-921,-216,-676
-507,-369,2743,-921,-216,-676
-384,-540,2911,-764,-284,-740
-319,-908,2805,-703,-304,-782
-308,-1182,2593,-698,-352,-763
-307,-1310,2534,-698,-428,-715
-370,-1444,2420,-657,-496,-682
-386,-1567,2282,-550,-580,-667
-319,-1774,2172,-447,-673,-663
-320,-2071,2186,-384,-776,-635
-278,-2156,2175,-313,-870,-568
-162,-2272,2147,-251,-960,-522
-42,-2553,2431,-184,-1062,-487
124,-2635,2844,-53,-1125,-419
312,-2595,3063,41,-1126,-339
364,-2707,3224,108,-1123,-264
452,-2343,3572,127,-1135,-142
566,-2083,3592,210,-1122,-110
600,-2367,3167,256,-1151,-128
690,-2684,3269,217,-1282,-90
1016,-2845,3932,207,-1409,-4
1390,-3020,4614,289,-1446,106
1618,-2864,5230,371,-1396,275
1763,-2400,5372,448,-1254,423
1751,-2080,5180,526,-1102,478
1648,-2129,4995,610,-985,475
1535,-2219,5181,731,-885,490
1537,-1930,5224,930,-785,540
1571,-1473,5256,1007,-718,612
1537,-1062,5393,950,-672,687
1455,-637,5582,909,-628,725
1418,-279,5783,902,-576,730
1380,144,6037,888,-515,736
1364,632,6463,854,-435,731
1341,1065,6619,809,-279,698
1163,1297,6101,748,-124,627
925,1382,5807,670,-68,557
778,1553,5830,621,-52,495
727,1812,5895,621,-39,423
767,2065,6032,555,-9,349
740,2230,6022,446,45,261
702,2318,5895,347,96,162
680,2278,5739,225,135,69
688,2138,5621,88,158,-8
724,2020,5498,-25,177,-70
782,1990,5319,-143,200,-126
908,1831,5192,-272,213,-199
963,1474,5198,-372,227,-271
970,1267,5173,-418,259,-308
984,1246,4937,-448,315,-342
961,1065,4614,-491,353,-405
938,903,4486,-526,348,-456
956,806,4468,-559,346,-496
922,656,4398,-583,368,-545
857,567,4197,-599,394,-590
797,549,4061,-612,402,-638
726,470,3939,-634,407,-702
639,259,3809,-636,410,-773
592,46,3709,-612,402,-815
566,-25,3526,-597,396,-832
513,-105,3406,-623,376,-844
454,-104,3255,-623,351,-857
382,-163,2983,-633,314,-884
288,-355,2756,-681,244,-907
248,-538,2691,-752,146,-903
291,-739,2741,-778,53,-904
311,-965,2757,-736,-15,-906
317,-1082,2788,-699,-65,-885
369,-1132,2817,-626,-113,-869
406,-1148,2877,-570,-160,-851
406,-1148,2877,-570,-160,-851
439,-1194,2881,-555,-187,-831
391,-1267,2646,-533,-193,-833
327,-1448,2336,-517,-229,-839
333,-1540,2058,-504,-324,-826
409,-1626,2035,-467,-479,-824
546,-1823,2306,-454,-633,-826
669,-2098,2732,-437,-729,-817
740,-2256,2954,-326,-762,-775
812,-2102,3066,-225,-774,-698
879,-1934,3022,-84,-791,-652
1001,-1942,2976,38,-837,-613
1115,-1973,3065,75,-901,-549
1097,-1852,3195,75,-947,-474
1149,-1685,3366,114,-978,-431
1277,-1732,3543,202,-993,-430
1311,-1849,3538,268,-981,-413
1267,-1923,3217,322,-972,-372
1294,-2006,3093,317,-1018,-320
1469,-2220,3437,352,-1101,-266
1707,-2363,3938,459,-1135,-185
1841,-2284,4264,566,-1096,-67
1886,-2050,4211,640,-1020,45
1868,-1823,4140,723,-978,124
1874,-1594,4007,820,-954,164
1981,-1719,3780,866,-948,161
2065,-2014,3894,844,-988,198
2252,-2061,4613,863,-1038,306
2456,-1785,5178,957,-985,416
2491,-1315,5132,959,-857,493
2554,-873,5165,860,-761,517
2595,-1174,5523,812,-623,450
2330,-2071,4148,1172,-591,437
2581,-1761,4965,1176,-704,677
2631,-1149,5305,1187,-610,836
2558,-374,5116,1259,-470,898
2546,303,4916,1289,-357,848
2426,282,4794,1253,-266,709
2290,5,4720,1217,-214,633
2230,-104,4604,1187,-188,641
2188,1,4632,1138,-172,696
2236,431,4789,1120,-161,747
2324,898,4949,1108,-140,740
2343,1087,5129,1000,-99,693
2361,1078,5056,878,-47,652
2288,809,4828,744,-2,630
2178,671,4720,642,21,664
2196,857,4663,626,45,697
2191,1106,4689,605,72,700
2151,1456,4893,544,114,689
2066,1742,4884,491,202,626
1880,1774,4457,442,298,520
1706,1757,4043,377,318,436
1691,1766,3889,295,276,367
1690,1520,3866,188,221,303
1674,1204,3774,79,169,292
1614,1076,3680,-17,119,324
1556,1137,3589,-67,70,347
1640,1298,3665,-107,19,335
1692,1193,3891,-134,-3,271
1674,1032,3882,-112,22,206
1605,994,3581,-83,50,150
1581,863,3404,-81,37,86
1619,643,3440,-107,-7,35
1655,424,3655,-97,-45,2
1709,325,3720,-53,-46,0
1709,249,3647,-48,-39,1
1657,204,3593,-31,-54,7
1705,382,3713,-72,-76,27
1705,379,3724,-20,-90,-24
1789,185,3881,58,-112,-77
1789,185,3881,58,-112,-77
1888,56,4092,61,-103,-87
1910,70,4202,27,-66,-63
1924,181,4210,47,-26,-47
1924,209,4105,51,9,-54
1854,136,4017,39,16,-60
1793,138,3997,33,6,-54
1764,157,3963,25,0,-52
1767,171,3957,8,-12,-49
1778,160,4006,-7,-23,-48
1765,109,4016,1,-28,-49
1765,121,4084,26,-29,-41
1798,208,4081,72,-12,-44
1807,190,4056,77,3,-56
1842,110,4026,85,10,-61
1842,73,4074,52,15,-39
1819,134,4016,29,26,-12
1796,177,3894,0,26,0
1758,213,3820,-29,10,2
1767,207,3794,-53,-9,-8
1764,122,3924,-56,-29,-26
1794,95,4047,-25,-22,-34
1752,96,3913,31,1,-52
1684,54,3802,69,-2,-61
1703,79,3769,50,-22,-49
1742,75,3885,39,-51,-42
1818,108,4018,68,-63,-42
1882,86,4055,85,-51,-47
1892,39,4045,67,-31,-41
1890,24,4104,82,-20,-30
1885,141,4157,119,-11,-19
1877,207,4175,111,16,-18
1821,237,4038,103,47,-26
1748,265,3820,82,56,-39
1721,235,3719,79,25,-62
1725,140,3758,54,-8,-81
1804,44,3875,41,-34,-79
1864,-5,4021,46,-47,-56
1896,64,4167,54,-37,-22
1915,204,4216,106,-2,-11


138,1511,5359,-118,397,-392
-89,1458,5002,-184,479,-372
-240,1606,4527,-259,499,-343
-275,1719,4294,-355,446,-348
-255,1725,4250,-448,370,-376
-266,1551,4265,-547,313,-417
-257,1365,4242,-602,287,-452
-299,1305,4079,-610,279,-488
-366,1228,3780,-638,274,-534
-427,942,3562,-635,239,-615
-416,649,3442,-622,181,-670
-346,436,3427,-656,127,-666
-344,318,3388,-725,85,-628
-443,194,3238,-773,54,-604
-608,92,2914,-786,14,-600
-689,97,2596,-755,-71,-619
-637,23,2586,-691,-207,-667
-513,-78,2745,-597,-332,-722
-438,-211,2964,-524,-420,-763
-430,-191,3161,-448,-458,-775
-322,-134,2998,-372,-460,-797
-236,-232,2812,-401,-498,-830
-311,-409,2669,-455,-575,-845
-445,-537,2588,-467,-666,-851
-515,-738,2369,-423,-780,-879
-444,-1155,2488,-393,-937,-901
-267,-1796,3066,-374,-1061,-847
-57,-2287,3377,-336,-1082,-689
126,-2400,3460,-254,-1045,-492
392,-2377,3783,-164,-1010,-314
628,-2349,4167,-117,-916,-179
642,-2408,4412,-64,-768,-81
605,-2380,4347,23,-616,17
605,-2380,4347,23,-616,17
